year,Water,Trees,Grass,Flooded vegetation,Crops,Shrub and scrub,Built,Bare,Snow and ice,Snow and ice_percent,Water_percent,Trees_percent,Grass_percent,Flooded vegetation_percent,Crops_percent,Shrub and scrub_percent,Built_percent,Bare_percent,total_area
2018,3890.390119408381,82440.5543506088,585.7188875968413,208.74693145166447,5604.159040475283,13338.01071262879,2358.5477968974956,43.67549412217947,0.0,0.0,3.5866112040953664,76.00323022378318,0.5399833590530941,0.19244704520248024,5.166561446839584,12.296519678991292,2.174381924204919,0.04026511783009355,108469.80333318943
2020,3933.4688668126696,82825.52651107595,702.8032425979469,201.8646730306373,4409.11203012203,12881.707748650251,2846.36377843371,56.51009113159133,0.0,0.0,3.646917538442164,76.79172646120621,0.6516043620249508,0.1871589280084633,4.087910324465816,11.943281491307724,2.639007536563469,0.05239335798118579,107857.3569418548
2022,4039.3548632804045,84368.9879137551,741.8910842303242,170.93803780583693,4441.476998848076,9833.639078985863,3275.180146078275,36.150786922727576,0.0,0.0,3.778360143522098,78.91765692102327,0.6939552969143687,0.15989322327896027,4.1544999730945325,9.198258439628036,3.0635610253730756,0.03381497716565237,106907.61890990661
2024,4089.151404526902,82838.7761935305,895.2552494779804,150.6310174213671,4056.2277995087666,10859.021857971029,3739.4476225204353,60.393124384323315,0.0,0.0,3.8327803931734463,77.64516540951624,0.8391268572951739,0.1411871444860768,3.801920946969914,10.178211063595612,3.5050014320889624,0.05660675287456129,106688.90426934132
