year,period,dataset,Water,Trees,Grass,Flooded vegetation,Crops,Shrub and scrub,Built,Bare,Snow and ice,total_area_km2,Water_percent,Trees_percent,Grass_percent,Flooded vegetation_percent,Crops_percent,Shrub and scrub_percent,Built_percent,Bare_percent,Snow and ice_percent
1987,1985-1989,GLC-FCS30D,1146.4825032431788,87503.6587776122,758.9613305953121,720.01023869889,14343.151455225887,4403.49763600797,207.54853409037318,0.5910834463402841,0.0,109083.90155892016,1.0510098070006435,80.21683999847431,0.6957592456347645,0.6600517843689212,13.14873345218463,4.036798806311014,0.1902650447263923,0.0005418612993238224,0.0
1992,1990-1994,GLC-FCS30D,1137.1998067795153,87502.82574821715,758.9740971649533,728.8922673618551,14343.861168626274,4403.935761310574,207.62162601273653,0.5910834463402842,0.0,109083.90155891939,1.0425001219499657,80.21607633914188,0.6957709490753861,0.6681941670083731,13.149384064594294,4.037200446971435,0.1903320499593554,0.0005418612993238263,0.0
1997,1995-1999,GLC-FCS30D,1191.4408780552205,87535.08717527751,744.2710895462994,855.2252386755636,14177.610928480275,4347.916069402445,231.84153674812663,0.5086427347491096,0.0,109083.90155892019,1.0922242980204369,80.24565121370968,0.6822923262827114,0.7840068300212247,12.99697822122949,3.985845763917765,0.21253506102630604,0.00046628579238557316,0.0
2000,2000,GLC-FCS30D,1151.3355850675434,87519.99977884212,642.0896478836304,964.2120132429126,15139.192181774706,3016.8837084998745,620.1243405340481,30.064303075300863,0.0,109083.90155892013,1.0554587511207285,80.23182021186639,0.5886199876494285,0.8839177912261482,13.878484327586582,2.765654386564407,0.5684838291185401,0.02756071486777731,0.0
2005,2005,GLC-FCS30D,1153.612708759831,87452.83320973764,640.4344684545922,1061.888452742548,15077.68816578658,3007.4565342920323,657.9196861248572,32.068333021981275,0.0,109083.90155892006,1.0575462485972087,80.17024690164871,0.5871026423717262,0.9734602792594329,13.82210202450688,2.7570122550737692,0.6031317882130313,0.029397860329243942,0.0
2010,2010,GLC-FCS30D,1392.6756932298517,87491.64044378645,660.5451754052199,836.1325086597984,14947.2870398845,2993.1484546238557,737.6805958835868,24.791647446882656,0.0,109083.90155892014,1.276701395281152,80.20582248474956,0.6055386413259483,0.7665040365357423,13.702559980228552,2.743895672824966,0.67625065233401,0.02272713672007028,0.0
2015,2015,GLC-FCS30D,1317.522920864075,87554.92461804945,663.0017361162041,949.3149916906228,14731.582657671086,3006.292963898943,831.8624994555373,29.399171174260882,0.0,109083.90155892019,1.207806928460872,80.26383670440853,0.6077906333026535,0.8702613109028404,13.50481826111988,2.7559455803614936,0.7625896099858677,0.026950971457856517,0.0
2018,2018,Dynamic World,2479.41764666617,81707.76385837253,558.2925299541249,1508.6757758492615,5319.503395884936,12709.73990977927,2100.922106994831,37.95532179482351,6.530862721862793,106428.8014080178,2.3296491305589235,76.77222967599548,0.5245690288419108,1.4175446457067828,4.998180309756069,11.942011693858822,1.9740165060588184,0.0356626414022211,0.006136367820986
2019,2019,Dynamic World,2504.835173254915,82594.07385507012,603.6389662978996,1144.5967429895818,5598.385575989525,12818.875026973348,2382.5191632521164,70.64546700600107,2.063075115539551,107719.63304594904,2.3253283569824723,76.67504197664569,0.5603797090920376,1.062570221067631,5.197182182751653,11.900221588672986,2.2117780165810865,0.0655827215600209,0.0019152266464364
2020,2020,GLC-FCS30D,1474.3282507827792,87728.88726660678,710.0451711848208,826.5161436779117,14419.57144063008,2992.8263367817676,911.1113995178104,20.615549738140032,0.0,109083.90155892009,1.351554381272696,80.42331270964056,0.6509165523395771,0.7576884690281095,13.218789605578563,2.7436003791679893,0.8352391017346283,0.018898801237875455,0.0
2020,2020,Dynamic World,2757.474369232506,82506.31848197053,732.423010051105,1099.9207114885503,4508.403423005493,12465.643639719432,2616.104162785445,47.62443198023896,16.507996467060163,106750.42022670036,2.583103994697725,77.28898706605193,0.6861078471594735,1.0303666338293611,4.223312108215807,11.677371960922295,2.450673409275354,0.044612875414543,0.0154641044335029
2021,2021,Dynamic World,2681.193300916816,82257.73156075134,939.3161495884189,1334.439806283112,4289.051262186634,11833.121512370024,2645.333232800626,45.26635655871415,13.537226132887415,106038.99040758856,2.5284975749117837,77.57309952176294,0.8858214756458088,1.2584425796151433,4.044786965342224,11.159217441514985,2.494679761314773,0.0426884077118436,0.0127662721805003
2022,2022,Dynamic World,2767.3733818769083,83920.86297237751,793.8137407008321,907.0519447886012,4072.4802932547777,10191.568106789504,3033.086924552651,40.57137356565443,14.954326979675294,105741.76306488612,2.6171053911582414,79.36397175530477,0.7507097647064251,0.8577991500217456,3.851345178305557,9.638167372465382,2.868390725329087,0.0383683536094993,0.0141423090992902
2023,2023,Dynamic World,2707.4415984966854,85517.46787556802,780.0087545104776,870.4509153276059,4796.6507305501855,9841.054418070891,3027.440491329341,51.71550159397979,2.8394596757407995,107595.06974512294,2.516324962575163,79.4808424569513,0.7249484166497636,0.8090063210048355,4.458058107971632,9.146380444181055,2.813735330532252,0.0480649361689957,0.0026390239650079
