year,Water,Trees,Grass,Flooded vegetation,Crops,Shrub and scrub,Built,Bare,Snow and ice,total_area_km2,Water_percent,Trees_percent,Grass_percent,Flooded vegetation_percent,Crops_percent,Shrub and scrub_percent,Built_percent,Bare_percent,Snow and ice_percent
2018,2479.41764666617,81707.76385837253,558.2925299541249,1508.6757758492615,5319.503395884936,12709.73990977927,2100.922106994831,37.95532179482351,6.530862721862793,106428.80140801781,2.3296491305589235,76.77222967599548,0.5245690288419108,1.4175446457067828,4.998180309756069,11.942011693858822,1.9740165060588182,0.035662641402221175,0.0061363678209860875
2019,2504.835173254915,82594.07385507012,603.6389662978996,1144.5967429895818,5598.385575989525,12818.875026973348,2382.5191632521164,70.64546700600107,2.063075115539551,107719.63304594904,2.3253283569824723,76.67504197664569,0.5603797090920376,1.0625702210676313,5.197182182751653,11.900221588672986,2.2117780165810865,0.06558272156002094,0.0019152266464364232
2020,2757.474369232506,82506.31848197053,732.423010051105,1099.9207114885503,4508.403423005493,12465.643639719432,2616.104162785445,47.62443198023896,16.507996467060163,106750.42022670037,2.5831039946977254,77.28898706605193,0.6861078471594735,1.0303666338293613,4.223312108215807,11.677371960922295,2.450673409275354,0.04461287541454301,0.015464104433502915
2021,2681.1933009168156,82257.73156075134,939.3161495884189,1334.439806283112,4289.051262186634,11833.121512370024,2645.333232800626,45.26635655871415,13.537226132887417,106038.99040758857,2.5284975749117833,77.57309952176294,0.8858214756458088,1.2584425796151433,4.044786965342224,11.159217441514983,2.4946797613147735,0.042688407711843616,0.012766272180500353
2022,2767.3733818769083,83920.86297237751,793.8137407008321,907.0519447886012,4072.4802932547777,10191.568106789504,3033.086924552651,40.57137356565443,14.954326979675294,105741.76306488611,2.6171053911582414,79.36397175530477,0.7507097647064251,0.8577991500217456,3.851345178305557,9.638167372465382,2.868390725329087,0.038368353609499306,0.01414230909929022
2023,2707.4415984966854,85517.46787556802,780.0087545104776,870.4509153276059,4796.6507305501855,9841.054418070893,3027.4404913293415,51.71550159397979,2.8394596757407995,107595.06974512294,2.516324962575163,79.4808424569513,0.7249484166497636,0.8090063210048355,4.458058107971632,9.146380444181057,2.8137353305322517,0.048064936168995744,0.002639023965007938
